,SG_UF,CD_MUNICIPIO,NM_MUNICIPIO,QT_APTOS,QT_COMPARECIMENTO,QT_ABSTENCAO,VOTOS_BRANCOS,VOTOS_NULOS,PCT_ABSTENCAO,PCT_BRANCOS,PCT_NULOS
57,PB,19577,BREJO DO CRUZ,20604,16721,3883,1365,2329,18.845855173752668,8.163387357215477,13.92859278751271
58,PB,19585,AMPARO,5174,4212,962,505,530,18.592964824120603,11.989553656220323,12.583095916429249
59,PB,19593,BREJO DOS SANTOS,11628,9730,1898,1155,1068,16.32266941864465,11.870503597122301,10.976361767728674
60,PB,19607,CASSERENGUE,12028,9359,2669,1295,1486,22.189890256069173,13.836948391922213,15.877764718452825
61,PB,19615,CAAPORÃ,32692,27560,5132,6808,6235,15.698030099106816,24.702467343976778,22.6233671988389
62,PB,19623,GADO BRAVO,15012,12420,2592,2718,2797,17.26618705035971,21.884057971014492,22.52012882447665
63,PB,19631,CABACEIRAS,9764,8435,1329,923,1135,13.611224907824662,10.94250148192057,13.455838767042087
64,PB,19640,POÇO DANTAS,8124,6208,1916,532,800,23.58444116198917,8.56958762886598,12.886597938144329
65,PB,19658,CABEDELO,102082,82128,19954,13721,13099,19.547030818361712,16.70684784726281,15.949493473602184
66,PB,19666,JOCA CLAUDINO,5114,3986,1128,277,635,22.05709816190849,6.949322629202208,15.930757651781235
67,PB,19674,CACHOEIRA DOS ÍNDIOS,15488,12386,3102,1811,2609,20.02840909090909,14.621346681737446,21.064104634264492
68,PB,19682,TENÓRIO,5780,4842,938,396,662,16.228373702422143,8.178438661710038,13.672036348616274
69,PB,19690,CACIMBA DE AREIA,7904,6441,1463,794,1041,18.509615384615387,12.327278372923459,16.16208663251048
70,PB,19704,COXIXOLA,3802,3220,582,371,404,15.307732772225144,11.521739130434783,12.546583850931677
71,PB,19712,CACIMBA DE DENTRO,27714,21509,6205,1939,3820,22.389406076351303,9.014831000976335,17.760007438746573
72,PB,19720,PARARI,4326,3604,722,253,492,16.689782709200184,7.019977802441732,13.65149833518313
73,PB,19739,CAIÇARA,12506,9811,2695,1139,1963,21.54965616504078,11.609418000203853,20.008154112730608
