,Unnamed: 0,SG_UF,CD_MUNICIPIO,NM_MUNICIPIO,QT_APTOS,QT_COMPARECIMENTO,QT_ABSTENCAO,VOTOS_BRANCOS,VOTOS_NULOS,PCT_ABSTENCAO,PCT_BRANCOS,PCT_NULOS,ANALFABETO,ENSINO FUNDAMENTAL COMPLETO,ENSINO FUNDAMENTAL INCOMPLETO,ENSINO MÉDIO COMPLETO,ENSINO MÉDIO INCOMPLETO,LÊ E ESCREVE,SUPERIOR COMPLETO,SUPERIOR INCOMPLETO,100 anos ou mais              ,16 anos                       ,17 anos                       ,18 anos                       ,19 anos                       ,20 anos                       ,21 a 24 anos                  ,25 a 29 anos                  ,30 a 34 anos                  ,35 a 39 anos                  ,40 a 44 anos                  ,45 a 49 anos                  ,50 a 54 anos                  ,55 a 59 anos                  ,60 a 64 anos                  ,65 a 69 anos                  ,70 a 74 anos                  ,75 a 79 anos                  ,80 a 84 anos                  ,85 a 89 anos                  ,90 a 94 anos                  ,95 a 99 anos                  ,Inválido                      ,FEMININO,MASCULINO,codigo_ibge,municipio,pib_mil_reais
40,40,PB,19402,SÃO BENTINHO,7608,6022,1586,486,727,20.84647739221872,8.070408502158752,12.072401195616074,352.0,180.0,846.0,628.0,598.0,944.0,172.0,84.0,2.0,57.0,52.0,63.0,79.0,68.0,282.0,371.0,373.0,394.0,374.0,334.0,265.0,299.0,205.0,195.0,165.0,104.0,81.0,33.0,5.0,3.0,0.0,1960.0,1844.0,2513927,São Bentinho - PB,64264
41,41,PB,19410,BELÉM DO BREJO DO CRUZ,12644,9990,2654,1161,1194,20.99019297690604,11.621621621621625,11.951951951951951,634.0,235.0,1621.0,1219.0,881.0,1179.0,340.0,213.0,2.0,43.0,84.0,100.0,127.0,120.0,477.0,681.0,603.0,584.0,614.0,579.0,502.0,500.0,357.0,308.0,246.0,174.0,130.0,62.0,22.0,7.0,0.0,3210.0,3112.0,2502003,Belém do Brejo do Cruz - PB,93160
42,42,PB,19429,SÃO DOMINGOS,6426,5169,1257,266,664,19.56115779645192,5.146063068291739,12.845811568968854,312.0,125.0,861.0,425.0,394.0,902.0,114.0,80.0,0.0,46.0,39.0,58.0,56.0,65.0,253.0,282.0,310.0,340.0,330.0,270.0,265.0,214.0,180.0,159.0,138.0,95.0,72.0,30.0,8.0,2.0,1.0,1633.0,1580.0,2513968,São Domingos - PB,44068
43,43,PB,19437,BOA VENTURA,10662,8058,2604,484,1217,24.42318514350028,6.006453214197071,15.1030032266071,470.0,281.0,1205.0,1020.0,860.0,1016.0,290.0,189.0,2.0,62.0,57.0,102.0,101.0,97.0,397.0,550.0,594.0,561.0,552.0,464.0,352.0,345.0,287.0,267.0,211.0,160.0,85.0,56.0,20.0,9.0,0.0,2687.0,2644.0,2502102,Boa Ventura - PB,63601
44,44,PB,19445,SÃO JOSÉ DE PRINCESA,6428,5267,1161,438,971,18.061605476042317,8.315929371558763,18.43554205430036,273.0,164.0,1178.0,550.0,374.0,504.0,117.0,54.0,0.0,33.0,31.0,37.0,58.0,59.0,243.0,307.0,338.0,328.0,340.0,282.0,242.0,243.0,196.0,136.0,137.0,105.0,67.0,20.0,12.0,0.0,0.0,1615.0,1599.0,2514552,São José de Princesa - PB,43362
45,45,PB,19453,BOM JESUS,6102,5046,1056,443,730,17.305801376597838,8.779231074118114,14.466904478795083,189.0,166.0,763.0,551.0,433.0,679.0,149.0,121.0,0.0,40.0,42.0,55.0,42.0,49.0,255.0,307.0,314.0,314.0,309.0,278.0,232.0,196.0,151.0,137.0,114.0,92.0,81.0,27.0,11.0,5.0,0.0,1516.0,1535.0,2502201,Bom Jesus - PB,40310
46,46,PB,19461,MARIZÓPOLIS,12212,10326,1886,1629,1697,15.443825745168688,15.77571179546775,16.434243656788688,561.0,321.0,1662.0,1017.0,983.0,1092.0,276.0,194.0,1.0,76.0,90.0,117.0,128.0,132.0,509.0,612.0,582.0,669.0,612.0,534.0,422.0,437.0,359.0,287.0,229.0,164.0,86.0,44.0,11.0,5.0,0.0,3117.0,2989.0,2509156,Marizópolis - PB,97757
47,47,PB,19470,BOM SUCESSO,9056,7538,1518,454,719,16.762367491166078,6.022817723534094,9.53833908198461,394.0,225.0,1064.0,903.0,577.0,1023.0,221.0,121.0,2.0,63.0,51.0,69.0,71.0,93.0,319.0,375.0,350.0,405.0,427.0,348.0,349.0,389.0,352.0,275.0,248.0,172.0,116.0,39.0,12.0,3.0,0.0,2338.0,2190.0,2502300,Bom Sucesso - PB,66561
48,48,PB,19488,MATO GROSSO,6482,4666,1816,259,640,28.016044430731256,5.550792970424347,13.716245177882556,254.0,143.0,977.0,519.0,449.0,756.0,82.0,61.0,3.0,41.0,53.0,54.0,51.0,78.0,274.0,374.0,392.0,355.0,296.0,257.0,217.0,214.0,195.0,134.0,108.0,62.0,46.0,29.0,8.0,0.0,0.0,1659.0,1582.0,2509370,Mato Grosso - PB,38900
49,49,PB,19496,BONITO DE SANTA FÉ,15156,12047,3109,901,1722,20.51332805489575,7.479040425002076,14.294015107495644,849.0,277.0,2056.0,1082.0,914.0,1728.0,455.0,217.0,19.0,90.0,120.0,132.0,146.0,141.0,627.0,776.0,724.0,801.0,720.0,630.0,543.0,534.0,414.0,366.0,309.0,229.0,142.0,75.0,34.0,6.0,0.0,3914.0,3664.0,2502409,Bonito de Santa Fé - PB,119586
