indicador,ano,nivel_territorial,codigo_localidade,localidade,variavel,unidade,valor,classificacao,categoria
Distribuição por faixas de renda,2010,Município,2503209,Cabedelo (PB),Domicílios particulares permanentes,Unidades,3631,Classes de rendimento nominal mensal domiciliar per capita,Mais de 1/4 a 1/2 salário mínimo
Distribuição por faixas de renda,2010,Município,2503209,Cabedelo (PB),Domicílios particulares permanentes,Unidades,4195,Classes de rendimento nominal mensal domiciliar per capita,Mais de 1/2 a 1 salário mínimo
Distribuição por faixas de renda,2010,Município,2503209,Cabedelo (PB),Domicílios particulares permanentes,Unidades,2759,Classes de rendimento nominal mensal domiciliar per capita,Mais de 1 a 2 salários mínimos
Distribuição por faixas de renda,2010,Município,2503209,Cabedelo (PB),Domicílios particulares permanentes,Unidades,1039,Classes de rendimento nominal mensal domiciliar per capita,Mais de 2 a 3 salários mínimos
Distribuição por faixas de renda,2010,Município,2503209,Cabedelo (PB),Domicílios particulares permanentes,Unidades,1101,Classes de rendimento nominal mensal domiciliar per capita,Mais de 3 a 5 salários mínimos
Distribuição por faixas de renda,2010,Município,2503209,Cabedelo (PB),Domicílios particulares permanentes,Unidades,1386,Classes de rendimento nominal mensal domiciliar per capita,Mais de 5 salários mínimos
Distribuição por faixas de renda,2010,Município,2503209,Cabedelo (PB),Domicílios particulares permanentes,Unidades,765,Classes de rendimento nominal mensal domiciliar per capita,Sem rendimento
Distribuição por faixas de renda,2010,Município,2503704,Cajazeiras (PB),Domicílios particulares permanentes,Unidades,17279,Classes de rendimento nominal mensal domiciliar per capita,Total
Distribuição por faixas de renda,2010,Município,2503704,Cajazeiras (PB),Domicílios particulares permanentes,Unidades,3192,Classes de rendimento nominal mensal domiciliar per capita,Até 1/4 de salário mínimo
Distribuição por faixas de renda,2010,Município,2503704,Cajazeiras (PB),Domicílios particulares permanentes,Unidades,4326,Classes de rendimento nominal mensal domiciliar per capita,Mais de 1/4 a 1/2 salário mínimo
Distribuição por faixas de renda,2010,Município,2503704,Cajazeiras (PB),Domicílios particulares permanentes,Unidades,5484,Classes de rendimento nominal mensal domiciliar per capita,Mais de 1/2 a 1 salário mínimo
Distribuição por faixas de renda,2010,Município,2503704,Cajazeiras (PB),Domicílios particulares permanentes,Unidades,2291,Classes de rendimento nominal mensal domiciliar per capita,Mais de 1 a 2 salários mínimos
Distribuição por faixas de renda,2010,Município,2503704,Cajazeiras (PB),Domicílios particulares permanentes,Unidades,649,Classes de rendimento nominal mensal domiciliar per capita,Mais de 2 a 3 salários mínimos
Distribuição por faixas de renda,2010,Município,2503704,Cajazeiras (PB),Domicílios particulares permanentes,Unidades,433,Classes de rendimento nominal mensal domiciliar per capita,Mais de 3 a 5 salários mínimos
Distribuição por faixas de renda,2010,Município,2503704,Cajazeiras (PB),Domicílios particulares permanentes,Unidades,316,Classes de rendimento nominal mensal domiciliar per capita,Mais de 5 salários mínimos
Distribuição por faixas de renda,2010,Município,2503704,Cajazeiras (PB),Domicílios particulares permanentes,Unidades,588,Classes de rendimento nominal mensal domiciliar per capita,Sem rendimento
Distribuição por faixas de renda,2010,Município,2506301,Guarabira (PB),Domicílios particulares permanentes,Unidades,16252,Classes de rendimento nominal mensal domiciliar per capita,Total
Distribuição por faixas de renda,2010,Município,2506301,Guarabira (PB),Domicílios particulares permanentes,Unidades,3009,Classes de rendimento nominal mensal domiciliar per capita,Até 1/4 de salário mínimo
Distribuição por faixas de renda,2010,Município,2506301,Guarabira (PB),Domicílios particulares permanentes,Unidades,4347,Classes de rendimento nominal mensal domiciliar per capita,Mais de 1/4 a 1/2 salário mínimo
Distribuição por faixas de renda,2010,Município,2506301,Guarabira (PB),Domicílios particulares permanentes,Unidades,5384,Classes de rendimento nominal mensal domiciliar per capita,Mais de 1/2 a 1 salário mínimo
Distribuição por faixas de renda,2010,Município,2506301,Guarabira (PB),Domicílios particulares permanentes,Unidades,1889,Classes de rendimento nominal mensal domiciliar per capita,Mais de 1 a 2 salários mínimos
Distribuição por faixas de renda,2010,Município,2506301,Guarabira (PB),Domicílios particulares permanentes,Unidades,509,Classes de rendimento nominal mensal domiciliar per capita,Mais de 2 a 3 salários mínimos
Distribuição por faixas de renda,2010,Município,2506301,Guarabira (PB),Domicílios particulares permanentes,Unidades,311,Classes de rendimento nominal mensal domiciliar per capita,Mais de 3 a 5 salários mínimos
Distribuição por faixas de renda,2010,Município,2506301,Guarabira (PB),Domicílios particulares permanentes,Unidades,179,Classes de rendimento nominal mensal domiciliar per capita,Mais de 5 salários mínimos
Distribuição por faixas de renda,2010,Município,2506301,Guarabira (PB),Domicílios particulares permanentes,Unidades,623,Classes de rendimento nominal mensal domiciliar per capita,Sem rendimento
Distribuição por faixas de renda,2010,Município,2515302,Sapé (PB),Domicílios particulares permanentes,Unidades,14025,Classes de rendimento nominal mensal domiciliar per capita,Total
Distribuição por faixas de renda,2010,Município,2515302,Sapé (PB),Domicílios particulares permanentes,Unidades,3812,Classes de rendimento nominal mensal domiciliar per capita,Até 1/4 de salário mínimo
Distribuição por faixas de renda,2010,Município,2515302,Sapé (PB),Domicílios particulares permanentes,Unidades,4265,Classes de rendimento nominal mensal domiciliar per capita,Mais de 1/4 a 1/2 salário mínimo
Distribuição por faixas de renda,2010,Município,2515302,Sapé (PB),Domicílios particulares permanentes,Unidades,3586,Classes de rendimento nominal mensal domiciliar per capita,Mais de 1/2 a 1 salário mínimo
Distribuição por faixas de renda,2010,Município,2515302,Sapé (PB),Domicílios particulares permanentes,Unidades,867,Classes de rendimento nominal mensal domiciliar per capita,Mais de 1 a 2 salários mínimos
Distribuição por faixas de renda,2010,Município,2515302,Sapé (PB),Domicílios particulares permanentes,Unidades,184,Classes de rendimento nominal mensal domiciliar per capita,Mais de 2 a 3 salários mínimos
Distribuição por faixas de renda,2010,Município,2515302,Sapé (PB),Domicílios particulares permanentes,Unidades,77,Classes de rendimento nominal mensal domiciliar per capita,Mais de 3 a 5 salários mínimos
Distribuição por faixas de renda,2010,Município,2515302,Sapé (PB),Domicílios particulares permanentes,Unidades,43,Classes de rendimento nominal mensal domiciliar per capita,Mais de 5 salários mínimos
Distribuição por faixas de renda,2010,Município,2515302,Sapé (PB),Domicílios particulares permanentes,Unidades,1190,Classes de rendimento nominal mensal domiciliar per capita,Sem rendimento
